"cnpj","ano","trimestre","conta","nome","instituicoes_financeiras_ligadas","instituicoes_financeiras_nao_ligadas","securitizadoras_ligadas","securitizadoras_nao_ligadas"
"0","2001","1","00.0.0.01.01.00","CREDITOS CEDIDOS COM COOBRIGACAO",0,0,0,0
"0","2001","1","00.0.0.01.02.00","CREDITOS CEDIDOS SEM COOBRIGACAO",0,0,0,0
"0","2001","1","00.0.0.01.00.00","TOTAL",0,0,0,0
"0","2001","2","00.0.0.01.01.00","CREDITOS CEDIDOS COM COOBRIGACAO",0,0,0,0
"0","2001","2","00.0.0.01.02.00","CREDITOS CEDIDOS SEM COOBRIGACAO",0,0,0,0
"0","2001","2","00.0.0.01.00.00","TOTAL",0,0,0,0
"0","2001","3","00.0.0.01.01.00","CREDITOS CEDIDOS COM COOBRIGACAO",0,0,0,0
"0","2001","3","00.0.0.01.02.00","CREDITOS CEDIDOS SEM COOBRIGACAO",0,0,0,0
"0","2001","3","00.0.0.01.00.00","TOTAL",0,0,0,0
"0","2001","4","00.0.0.01.01.00","CREDITOS CEDIDOS COM COOBRIGACAO",0,0,0,0
"0","2001","4","00.0.0.01.02.00","CREDITOS CEDIDOS SEM COOBRIGACAO",0,0,0,0
"0","2001","4","00.0.0.01.00.00","TOTAL",0,0,0,0
"0","2002","1","00.0.0.01.01.00","CREDITOS CEDIDOS COM COOBRIGACAO",0,0,0,0
"0","2002","1","00.0.0.01.02.00","CREDITOS CEDIDOS SEM COOBRIGACAO",0,0,0,0
"0","2002","1","00.0.0.01.00.00","TOTAL",0,0,0,0
"0","2002","2","00.0.0.01.01.00","CREDITOS CEDIDOS COM COOBRIGACAO",0,0,0,0
"0","2002","2","00.0.0.01.02.00","CREDITOS CEDIDOS SEM COOBRIGACAO",0,0,0,0
"0","2002","2","00.0.0.01.00.00","TOTAL",0,0,0,0
"0","2002","3","00.0.0.01.01.00","CREDITOS CEDIDOS COM COOBRIGACAO",0,0,0,0
"0","2002","3","00.0.0.01.02.00","CREDITOS CEDIDOS SEM COOBRIGACAO",0,0,0,0
"0","2002","3","00.0.0.01.00.00","TOTAL",0,0,0,0
"0","2002","4","00.0.0.01.01.00","CREDITOS CEDIDOS COM COOBRIGACAO",0,0,0,0
"0","2002","4","00.0.0.01.02.00","CREDITOS CEDIDOS SEM COOBRIGACAO",0,0,0,0
"0","2002","4","00.0.0.01.00.00","TOTAL",0,0,0,0
"0","2003","1","00.0.0.01.01.00","CREDITOS CEDIDOS COM COOBRIGACAO",0,0,0,0
"0","2003","1","00.0.0.01.02.00","CREDITOS CEDIDOS SEM COOBRIGACAO",0,0,0,0
"0","2003","1","00.0.0.01.00.00","TOTAL",0,0,0,0
"0","2003","2","00.0.0.01.01.00","CREDITOS CEDIDOS COM COOBRIGACAO",0,0,0,0
"0","2003","2","00.0.0.01.02.00","CREDITOS CEDIDOS SEM COOBRIGACAO",0,0,286248.97,0
"0","2003","2","00.0.0.01.00.00","TOTAL",0,0,286248.97,0
"0","2003","3","00.0.0.01.01.00","CREDITOS CEDIDOS COM COOBRIGACAO",0,0,0,0
"0","2003","3","00.0.0.01.02.00","CREDITOS CEDIDOS SEM COOBRIGACAO",0,0,0,0
"0","2003","3","00.0.0.01.00.00","TOTAL",0,0,0,0
